Project,Package,Class,Smell,Description,File
assignment,org.gradle.accessors.dm,LibrariesForLibs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: vaccForJunitVersionAccessors,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.BundleAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.BundleAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitLibraryAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitLibraryAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.VersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: vaccForJunitVersionAccessors,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.VersionAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitVersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitVersionAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.BundleAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.BundleAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.PluginAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.PluginAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibs,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: vaccForJunitVersionAccessors,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation that indicates that the abstraction might not be required. Following fields are declared in this class: ,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
