Project,Package,Class,Method,Smell,Description,Method start line no,File
assignment,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,Long Parameter List,The method has 5 parameters. ,30,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,Long Parameter List,The method has 5 parameters. ,30,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,35,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Magic Number,The method contains a magic number: 8,35,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,49,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,Magic Number,The method contains a magic number: 8,49,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,67,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getBundles,Magic Number,The method contains a magic number: 8,67,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibs,LibrariesForLibs,Long Parameter List,The method has 5 parameters. ,30,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,LibrariesForLibsInPluginsBlock,Long Parameter List,The method has 5 parameters. ,30,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,35,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getGuava,Magic Number,The method contains a magic number: 8,35,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,getJunit,Long Statement,The length of the statement "org.gradle.internal.deprecation.DeprecationLogger.deprecateBehaviour("Accessing libraries or bundles from version catalogs in the plugins block.").withAdvice("Only use versions or plugins from catalogs in the plugins block.").willBeRemovedInGradle9().withUpgradeGuideSection(8`"kotlin_dsl_deprecated_catalogs_plugins_block").nagUser();" is 335.,49,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java
