Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
assignment,org.gradle.accessors.dm,LibrariesForLibs,6,0,6,6,93,6,0,0,1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,18
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,73
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,1,0,0,0,18,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,89
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,113
assignment,org.gradle.accessors.dm,LibrariesForLibs.BundleAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,129
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,135
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock,6,0,6,6,107,6,0,0,1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,18
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitLibraryAccessors,0,0,0,0,16,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,85
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.VersionAccessors,1,0,0,0,18,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,109
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.JunitVersionAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,133
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.BundleAccessors,0,0,0,0,8,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,149
assignment,org.gradle.accessors.dm,LibrariesForLibsInPluginsBlock.PluginAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.8/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibsInPluginsBlock.java,159
assignment,org.gradle.accessors.dm,LibrariesForLibs,6,0,6,6,93,6,0,0,1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,18
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitLibraryAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,73
assignment,org.gradle.accessors.dm,LibrariesForLibs.VersionAccessors,1,0,0,0,18,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,89
assignment,org.gradle.accessors.dm,LibrariesForLibs.JunitVersionAccessors,0,0,0,0,11,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,113
assignment,org.gradle.accessors.dm,LibrariesForLibs.BundleAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,129
assignment,org.gradle.accessors.dm,LibrariesForLibs.PluginAccessors,0,0,0,0,5,0,0,0,-1.0,0,0,/home/boz/UNI/terzo anno/primoSemestre/FIS/./lab2/assignment/.gradle/8.10/dependencies-accessors/d7f838bb16dc243bdd05bfa8f75ef956f6209f3c/sources/org/gradle/accessors/dm/LibrariesForLibs.java,135
